cat, subCat, img, name, price, ratingScore, ratingCount, pricePerAmount
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/262116_1.jpg, Ceresit Piana Whiteteq z wężykiem 750 ml, 34.99 zł, 1, 1, 46.66 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/515894_1.jpg, Fola Folia remontowo-budowlana 3 m x 5 m, 23.99 zł, 2.3, 3, 1.60 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/631034_1.jpg, Soudal Pianka do kręgów Genius Gun 750 ml, 36.99 zł, 2, 1, 49.32 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/628418_1.jpg, Fola Folia budowlana czarna 0.30 mm, 109.00 zł, 1, 1, 2.28 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/612148_1.jpg, Fola Worek budowlany czarny 120 l 5 sztuk, 14.95 zł, 1, 1, 2.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/564301_1.jpg, Rew-Ton Podstawka do rusztowania kolumnowego, 59.99 zł, 1, 1, 59.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/638142_1.jpg, Jan Niezbędny Worki budowlane 120l 25 stuk, 44.99 zł, 1, 1, 1.80 zł / szt.
materialy-budowlane, odprowadzenia-wody-i-drenaz, https://images.obi.pl/product/PL/thumb/307920_1.jpg, Rura kanalizacyjna 160-500 mm, 32.99 zł, 5, 1, 65.98 zł / m
materialy-budowlane, odprowadzenia-wody-i-drenaz, https://images.obi.pl/product/PL/thumb/312142_1.jpg, Rura kanalizacyjna śr. 11 cm dł. 50 cm, 19.99 zł, 4.3, 4, 39.98 zł / m
materialy-budowlane, odprowadzenia-wody-i-drenaz, https://images.obi.pl/product/PL/thumb/275542_1.jpg, Scala Rura drenarska DN100 dł. 50m, 329.00 zł, 5, 3, 6.58 zł / m
materialy-budowlane, odprowadzenia-wody-i-drenaz, https://images.obi.pl/product/PL/thumb/662558_1.jpg, Oczyszczalnia ścieków 2000L, 2 599.00 zł, 0, 0, 0
materialy-budowlane, odprowadzenia-wody-i-drenaz, https://images.obi.pl/product/PL/thumb/479953_1.jpg, Scala Rura drenarska DN100 20 m, 199.00 zł, 0, 0, 9.95 zł / m
materialy-budowlane, odprowadzenia-wody-i-drenaz, https://images.obi.pl/product/PL/thumb/282580_1.jpg, Drewplast Rura drenarska z geowłókniną SF27 DN 100 50 mb, 629.00 zł, 0, 0, 12.58 zł / m
materialy-budowlane, odprowadzenia-wody-i-drenaz, https://images.obi.pl/product/PL/thumb/307913_1.jpg, Mufa 110 mm, 13.99 zł, 0, 0, 13.99 zł / szt.
materialy-budowlane, odprowadzenia-wody-i-drenaz, https://images.obi.pl/product/PL/thumb/312147_1.jpg, Studzienka odwodnieniowa 200x200 mm, 22.99 zł, 0, 0, 22.99 zł / szt.
